age,hiv,no_hiv
0,90,90
1,90,90
2,90,90
3,90,90
4,90,90
5,6,6
6,6,6
7,6,6
8,6,6
9,6,6
10,5,5
11,5,5
12,5,5
13,5,5
14,5,5
15,7,7
16,7,7
17,7,7
18,7,7
19,7,7
20,9,9
21,9,9
22,9,9
23,9,9
24,9,9
25,10,10
26,10,10
27,10,10
28,10,10
29,10,10
30,13,13
31,13,13
32,13,13
33,13,13
34,13,13
35,16,16
36,16,16
37,16,16
38,16,16
39,16,16
40,27,27
41,27,27
42,27,27
43,27,27
44,27,27
45,37,37
46,37,37
47,37,37
48,37,37
49,37,37
50,67,67
51,67,67
52,67,67
53,67,67
54,67,67
55,115,115
56,115,115
57,115,115
58,115,115
59,115,115
60,167,167
61,167,167
62,167,167
63,167,167
64,167,167
65,274,274
66,274,274
67,274,274
68,274,274
69,274,274
70,427,427
71,427,427
72,427,427
73,427,427
74,427,427
75,617,617
76,617,617
77,617,617
78,617,617
79,617,617
80,1015,1015
81,1015,1015
82,1015,1015
83,1015,1015
84,1015,1015
85,1633,1633
86,1633,1633
87,1633,1633
88,1633,1633
89,1633,1633
90,1633,1633
91,1633,1633
92,1633,1633
93,1633,1633
94,1633,1633
95,1633,1633
96,1633,1633
97,1633,1633
98,1633,1633
99,1633,1633
100,1633,1633
