STRAIN,FROM_STATE,TO_STATE,IMMUNITY,HIV,Original_Multiplier,Low,High,Peak
HIGH_RISK,NORMAL,HPV,NATURAL,All,0.23745,0.05,0.21,0.13
SIXTEEN,NORMAL,HPV,NATURAL,All,0.21841,0.05,0.21,0.13
EIGHTEEN,NORMAL,HPV,NATURAL,All,0.2074,0.05,0.21,0.13
HIGH_RISK,NORMAL,HPV,VACCINE,All,,,,1
SIXTEEN,NORMAL,HPV,VACCINE,All,,,,1
EIGHTEEN,NORMAL,HPV,VACCINE,All,,,,1
LOW_RISK,NORMAL,HPV,All,All,3.75942,0.3,1.3,0.8
HIGH_RISK,NORMAL,HPV,All,All,7.6936,0.05,0.75,0.275
SIXTEEN,NORMAL,HPV,All,All,7.90374,0.25,2,0.75
EIGHTEEN,NORMAL,HPV,All,All,7.86304,0.25,2,0.6
LOW_RISK,HPV,CIN_1,All,All,5.64263,0.01,0.5,0.15
HIGH_RISK,HPV,CIN_1,All,All,0.53494,0.01,1,0.3
SIXTEEN,HPV,CIN_1,All,All,3.9658,0.01,1,0.5
EIGHTEEN,HPV,CIN_1,All,All,5.22357,0.01,1,0.3
HIGH_RISK,HPV,CIN_2_3,All,All,0.04532,0.01,1,0.3
SIXTEEN,HPV,CIN_2_3,All,All,0.70912,0.01,1,0.5
EIGHTEEN,HPV,CIN_2_3,All,All,0.03472,0.01,1,0.3
HIGH_RISK,CIN_1,CIN_2_3,All,All,0.9251,0.25,2,1
SIXTEEN,CIN_1,CIN_2_3,All,All,1.80363,0.75,3.25,2
EIGHTEEN,CIN_1,CIN_2_3,All,All,2.48921,0.25,2,1
HIGH_RISK,CIN_2_3,CANCER,All,All,1.36719,0.25,2,0.75
SIXTEEN,CIN_2_3,CANCER,All,All,4.58147,0.25,2,0.75
EIGHTEEN,CIN_2_3,CANCER,All,All,1.99302,0.25,2,0.75
HIGH_RISK,CIN_2_3,NORMAL,All,All,1.77839,0.5,1.5,1
SIXTEEN,CIN_2_3,NORMAL,All,All,0.70195,0.5,1.5,1
EIGHTEEN,CIN_2_3,NORMAL,All,All,4.95033,0.5,1.5,1
LOW_RISK,CIN_1,NORMAL,All,All,2.36324,0.5,1.5,1
HIGH_RISK,CIN_1,NORMAL,All,All,1.37026,0.5,1.5,1
SIXTEEN,CIN_1,NORMAL,All,All,4.63685,0.5,1.5,1
EIGHTEEN,CIN_1,NORMAL,All,All,4.63685,0.5,1.5,1
LOW_RISK,HPV,NORMAL,All,All,5.93843,0.5,1.5,1
HIGH_RISK,HPV,NORMAL,All,All,3.71069,0.5,1.5,1
SIXTEEN,HPV,NORMAL,All,All,4.03005,0.5,1.5,1
EIGHTEEN,HPV,NORMAL,All,All,4.03005,0.5,1.5,1
