2018,Vital statistics of Japan,,,,,,,,,,,,,,,,,,
Volume 1 General mortality Table 5.15 Trends in deaths and death rates (per 100 000 population) by sexÅCage and causes of death :Japan,,,,,,,,,,,,,,,,,,,
Note: The total number of deaths includes death causes other than those listed in Yearly trends in causes of death.,,,,,,,,,,,,,,,,,,,
Å@Å@Å@The death rate for 90-94 year olds from 1950 to 2000 includes values for 90 year olds and above.,,,,,,,,,,,,,,,,,,,
Å@Å@Å@Data on Hi06 cerebrovascular diseases in 1950 does not correspond with the 1950 report because it includes B46.b (part of 352ÅCsequalae and occurrence of B22 for one year or more.).,,,,,,,,,,,,,,,,,,,
Age,,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2014,2015,2016,2017,2018
Total,,,,,,,,,,,,,,,,,,,
Deaths Total,Total,904876,693523,706599,700438,712962,702275,722801,752283,820305,922139,961653,1083796,1197014,1273025,1290510,1308158,1340567,1362470
,0Å`4Years,222903,99399,64692,42572,32879,25884,16298,10834,7983,7040,5269,4102,3382,2883,2692,2620,2455,2393
,5Å`9,19774,14240,8209,4533,3809,3205,2773,1791,1377,1235,738,655,480,460,452,391,351,363
,10Å`14,10212,6548,5545,3621,2625,2045,1627,1649,1242,1184,744,590,553,501,470,441,437,463
,15Å`19,21222,10992,9829,7374,6926,4750,4043,4212,4353,3362,2397,1802,1422,1205,1220,1166,1161,1143
,20Å`24,35871,19383,14537,10401,10380,7336,4850,4669,4795,5087,4035,3370,2753,2320,2101,2083,2025,2006
,25Å`29,32906,19362,15735,11168,10371,8864,6273,4725,4277,4596,4817,4170,3437,2873,2616,2480,2277,2216
,30Å`34,26416,16659,15575,13449,11463,9787,8772,6733,5038,5129,5596,5952,4837,3896,3550,3355,3254,3114
,35Å`39,28174,16452,15518,16099,16121,12810,11462,11127,8551,6839,7046,7469,7555,5879,5402,5195,4750,4610
,40Å`44,29334,20742,17427,17455,20458,19787,16124,15884,15311,12814,10479,10238,10162,10065,9770,9266,8818,8338
,45Å`49,33919,26955,25676,22542,23148,26002,26126,22707,21728,24136,19736,15754,14532,13726,13540,13925,14020,14001
,50Å`54,40380,36042,35175,33232,29580,29358,34173,35851,30258,32946,35843,28964,22014,19841,19717,19487,19063,19491
,55Å`59,48436,44993,48623,45941,44464,37320,38000,45575,47541,44732,45992,49579,39326,30317,28737,28339,27528,27382
,60Å`64,61352,55659,61896,64302,61959,55304,48885,50845,62728,68310,60680,62258,66096,57312,52220,48237,44913,43347
,65Å`69,75817,69952,74289,81000,85239,76624,73654,64730,69931,89089,89058,80829,83087,85193,88289,93542,92441,86373
,70Å`74,84089,80172,89301,92415,102131,100941,99336,95991,89813,102443,116528,120825,110248,114866,114331,107849,109149,114528
,75Å`79,67055,77338,90324,97834,101517,109869,120044,121250,127523,125428,131000,159362,163089,156783,153472,153048,155823,158276
,80Å`84,42750,49530,70775,78785,83478,92528,110279,123573,139549,157863,147060,174185,211257,221051,222464,223824,226201,225139
,85Å`89,18202,22255,32886,43130,47008,55663,67292,86351,111120,134363,148980,165385,207287,249728,256269,260637,270097,276699
,90Å`94,4974,5890,9172,12684,16200,19692,26830,34768,52814,72295,90913,127573,151959,186126,197186,209447,223426,234656
,95Å`99,700,857,1294,1771,2587,3705,5135,7772,12355,19831,29230,50503,75387,84118,90731,95967,104102,109209
,100Å`,55,77,99,106,202,363,497,825,1569,2780,4789,9578,17513,23412,24825,26431,27807,28324
,Not stated,335,26,22,24,417,438,328,421,449,637,723,653,638,470,456,428,469,399
Deaths Male,Total,467073,365246,377526,378716,387880,377827,390644,407769,443718,501276,525903,584970,633701,660340,666728,674946,690770,699138
,0Å`4Years,118289,53699,36227,24383,19085,14904,9352,6042,4532,3929,2933,2291,1873,1542,1473,1352,1297,1266
,5Å`9,10587,8172,4787,2825,2384,2035,1748,1155,844,752,438,409,261,276,253,229,209,206
,10Å`14,5048,3610,3263,2260,1652,1262,1030,1011,760,716,493,361,350,318,267,254,276,266
,15Å`19,10655,6399,6168,5026,4963,3470,2967,3179,3204,2413,1721,1220,941,840,836,816,810,747
,20Å`24,18652,11335,8828,6708,6813,4850,3420,3397,3466,3640,2875,2303,1962,1665,1515,1471,1469,1406
,25Å`29,15891,10740,9356,6744,6503,5580,4095,3167,2916,3203,3271,2887,2412,1961,1786,1714,1548,1518
,30Å`34,12541,8202,8820,8287,7170,6083,5546,4237,3264,3297,3749,3915,3177,2574,2325,2227,2154,2065
,35Å`39,14131,8017,8149,9747,10349,8137,7302,7110,5449,4413,4621,4915,4867,3715,3455,3282,3075,2955
,40Å`44,15679,10847,9298,9827,12836,12971,10512,10234,9769,8236,6840,6806,6629,6449,6214,5836,5504,5243
,45Å`49,19144,15238,14165,12610,13261,16696,17601,15063,14218,15616,13141,10577,9566,8750,8656,8888,8943,8757
,50Å`54,23308,21269,20848,19393,17013,16991,22341,24347,20161,21905,24103,19546,14638,12954,12838,12531,12347,12582
,55Å`59,28706,27138,30157,28288,26712,22026,22980,30747,32925,30491,31848,34233,27134,20277,19461,19071,18507,18310
,60Å`64,35028,33421,38199,40357,38080,33116,29212,30884,42742,47188,42214,43403,46155,39571,36142,33474,31111,30002
,65Å`69,41034,39908,44071,49032,52135,46112,43901,38240,42664,59828,60962,55261,57468,59068,61425,65109,64251,59936
,70Å`74,42419,41481,48424,52399,58277,57697,57166,55100,51737,60927,76413,80198,73470,77300,76918,72548,74276,77805
,75Å`79,30634,35900,42750,48811,52086,56734,63893,65593,69320,68504,73947,99338,102674,99061,96968,97128,99603,101156
,80Å`84,17008,20222,29362,32748,36421,41379,51097,59125,67916,77924,73533,89502,119801,125623,126763,128016,129921,129610
,85Å`89,6344,7572,11678,15111,16602,20715,26362,34749,45623,56495,62730,70110,89905,116956,120815,124580,129787,133396
,90Å`94,1523,1828,2626,3704,4538,5705,8497,11718,17914,24961,30830,42590,49199,58660,64599,70786,78370,83799
,95Å`99,204,209,310,412,626,899,1246,2127,3547,5655,7642,12825,17849,19021,19917,21280,22850,23781
,100Å`,16,19,23,25,38,82,100,192,367,639,975,1736,2860,3390,3743,4016,4087,4026
,Not stated,232,20,17,19,336,383,276,352,380,544,624,544,510,369,359,338,375,306
Deaths Female,Total,437803,328277,329073,321722,325082,324448,332157,344514,376587,420863,435750,498826,563313,612685,623782,633212,649797,663332
,0Å`4Years,104614,45700,28465,18189,13794,10980,6946,4792,3451,3111,2336,1811,1509,1341,1219,1268,1158,1127
,5Å`9,9187,6068,3422,1708,1425,1170,1025,636,533,483,300,246,219,184,199,162,142,157
,10Å`14,5164,2938,2282,1361,973,783,597,638,482,468,251,229,203,183,203,187,161,197
,15Å`19,10567,4593,3661,2348,1963,1280,1076,1033,1149,949,676,582,481,365,384,350,351,396
,20Å`24,17219,8048,5709,3693,3567,2486,1430,1272,1329,1447,1160,1067,791,655,586,612,556,600
,25Å`29,17015,8622,6379,4424,3868,3284,2178,1558,1361,1393,1546,1283,1025,912,830,766,729,698
