age,hiv,no_hiv
0,4.773740783,4.773740783
1,4.773740783,4.773740783
2,4.773740783,4.773740783
3,4.773740783,4.773740783
4,4.773740783,4.773740783
5,0.619994385,0.619994385
6,0.619994385,0.619994385
7,0.619994385,0.619994385
8,0.619994385,0.619994385
9,0.619994385,0.619994385
10,0.74998363,0.74998363
11,0.74998363,0.74998363
12,0.74998363,0.74998363
13,0.74998363,0.74998363
14,0.74998363,0.74998363
15,1.381060361,1.381060361
16,1.381060361,1.381060361
17,1.381060361,1.381060361
18,1.381060361,1.381060361
19,1.381060361,1.381060361
20,2.082246661,2.082246661
21,2.082246661,2.082246661
22,2.082246661,2.082246661
23,2.082246661,2.082246661
24,2.082246661,2.082246661
25,2.377593126,2.377593126
26,2.377593126,2.377593126
27,2.377593126,2.377593126
28,2.377593126,2.377593126
29,2.377593126,2.377593126
30,3.104377824,3.104377824
31,3.104377824,3.104377824
32,3.104377824,3.104377824
33,3.104377824,3.104377824
34,3.104377824,3.104377824
35,4.382726707,4.382726707
36,4.382726707,4.382726707
37,4.382726707,4.382726707
38,4.382726707,4.382726707
39,4.382726707,4.382726707
40,6.781448062,6.781448062
41,6.781448062,6.781448062
42,6.781448062,6.781448062
43,6.781448062,6.781448062
44,6.781448062,6.781448062
45,11.44209697,11.44209697
46,11.44209697,11.44209697
47,11.44209697,11.44209697
48,11.44209697,11.44209697
49,11.44209697,11.44209697
50,17.34905705,17.34905705
51,17.34905705,17.34905705
52,17.34905705,17.34905705
53,17.34905705,17.34905705
54,17.34905705,17.34905705
55,24.16372522,24.16372522
56,24.16372522,24.16372522
57,24.16372522,24.16372522
58,24.16372522,24.16372522
59,24.16372522,24.16372522
60,34.04791865,34.04791865
61,34.04791865,34.04791865
62,34.04791865,34.04791865
63,34.04791865,34.04791865
64,34.04791865,34.04791865
65,51.8862518,51.8862518
66,51.8862518,51.8862518
67,51.8862518,51.8862518
68,51.8862518,51.8862518
69,51.8862518,51.8862518
70,89.56027595,89.56027595
71,89.56027595,89.56027595
72,89.56027595,89.56027595
73,89.56027595,89.56027595
74,89.56027595,89.56027595
75,153.785473,153.785473
76,153.785473,153.785473
77,153.785473,153.785473
78,153.785473,153.785473
79,153.785473,153.785473
80,305.5225873,305.5225873
81,305.5225873,305.5225873
82,305.5225873,305.5225873
83,305.5225873,305.5225873
84,305.5225873,305.5225873
85,305.5225873,305.5225873
86,1006.001215,1006.001215
87,1006.001215,1006.001215
88,1006.001215,1006.001215
89,1006.001215,1006.001215
90,1006.001215,1006.001215
91,1006.001215,1006.001215
92,1006.001215,1006.001215
93,1006.001215,1006.001215
94,1006.001215,1006.001215
95,1006.001215,1006.001215
96,1006.001215,1006.001215
97,1006.001215,1006.001215
98,1006.001215,1006.001215
99,1006.001215,1006.001215
100,1006.001215,1006.001215
