Scenario,% Diff,Weighted % Diff,Incidence Check,Cause Check
scenario_0789,0.5047276336584925,0.5325153859996266,False,False
scenario_0954,0.4016355525929946,0.4624271674951339,False,False
scenario_0351,0.49583785248705325,0.5497560959014434,False,True
scenario_0166,0.30257365794699215,0.29633984842780553,False,False
scenario_1348,0.33240813155070315,0.3822989228230125,False,False
scenario_0330,0.27395294882337357,0.23363454503902645,False,True
scenario_0334,0.3128403192792359,0.30860393343169484,False,False
scenario_1632,0.365089362730497,0.3349787075770535,False,False
scenario_1808,0.30918941684137896,0.25625842846119945,False,True
scenario_0801,0.24504159801634237,0.3217517627438684,False,True
scenario_0522,0.40482964573937613,0.35105191411455705,False,True
scenario_0165,0.4302836061837075,0.5265079536996593,False,False
scenario_1245,0.4337557768187004,0.4761227399829701,False,False
scenario_1945,0.7379375166331067,0.7889295772469929,False,False
scenario_0322,0.43094284000454286,0.38458010725280545,False,True
scenario_1158,0.38390324150903254,0.3994278724221798,False,False
scenario_0227,0.33948122035188866,0.24648519651572715,False,True
scenario_1760,0.4156193435345455,0.4834122454324342,False,False
scenario_0318,0.5261131468063923,0.5939395686331479,False,False
scenario_0185,0.4208898678255539,0.4848884594495163,False,False
scenario_1280,0.37186760039843375,0.38278114200795643,False,False
scenario_1906,0.3518363804962841,0.41119601561750563,False,False
scenario_0409,0.23111515728695806,0.18046035244991585,False,True
scenario_0396,0.4606608421323706,0.5211776623816837,False,True
scenario_0890,0.3801438440684575,0.4797586622948672,False,False
scenario_1876,0.3479359596022843,0.3812421426203202,False,False
scenario_1409,0.4056813887046473,0.5157527958354112,False,False
scenario_1987,0.2621614414504361,0.30380805191876925,False,True
scenario_1386,0.42708074165007776,0.48334654266467775,False,False
scenario_1401,0.44509313035879855,0.4775995776771139,False,False
scenario_1152,0.33804777645464834,0.36855638991317674,False,False
scenario_0973,0.17837907278628004,0.1359462261268382,False,True
scenario_1385,0.37428553213888127,0.31611102541861624,False,False
scenario_0491,0.380288566914316,0.4374735895903863,False,False
scenario_1035,0.3728390134015353,0.4163428224422522,False,False
scenario_1294,0.44545238601685055,0.4101882134704133,False,False
scenario_0162,0.37206296854130627,0.2952442719978134,False,True
scenario_0927,0.3685285235739265,0.403145882101098,False,True
scenario_1668,0.44752105348250165,0.4533027121736708,False,False
scenario_0893,0.47370333104681667,0.5967357407066705,False,False
scenario_0011,0.3408253944622607,0.3510165148711503,False,False
scenario_1332,0.4213361805730011,0.5641093229261389,False,False
scenario_0111,0.5309006607414729,0.6043792049505865,False,False
scenario_0044,0.2331542976244184,0.23248313981785465,False,True
scenario_1196,0.5034713801202834,0.6226145570343642,False,False
scenario_0150,0.39116034271601835,0.4275296012372914,False,False
scenario_0599,0.3436168501196304,0.33412531980386606,False,False
scenario_0573,0.4673447812838491,0.5079832286577812,False,False
scenario_0694,0.4859169248876388,0.4481976090382713,False,False
scenario_0961,0.4891574439644667,0.5508811076803051,False,False
scenario_0118,0.8302261409827815,0.960254853703221,False,False
scenario_1754,0.7403357179445818,0.8309379887729355,False,False
