Target_Row,State,Strain,HIV,Age,Target,Current,Round
0,HPV,LOW_RISK,NORMAL,<30,10.4,1.0012001957106744,0
1,HPV,LOW_RISK,NORMAL,30_40,14.3,1.5449855541936612,1
2,HPV,LOW_RISK,NORMAL,40_50,19.1,2.307825043831319,2
3,HPV,LOW_RISK,NORMAL,50_60,17.8,3.108424465571248,3
4,HPV,HIGH_RISK,NORMAL,<30,28.3,0.9660140997830803,1
5,HPV,HIGH_RISK,NORMAL,30_40,23.2,1.168214738673012,5
6,HPV,HIGH_RISK,NORMAL,40_50,19.9,1.0909616485403548,8
7,HPV,HIGH_RISK,NORMAL,50_60,18.1,1.1238342708420788,11
8,HPV,SIXTEEN,NORMAL,<30,6.0,0.9743010534846029,1
9,HPV,SIXTEEN,NORMAL,30_40,5.0,1.1996890932720183,5
10,HPV,SIXTEEN,NORMAL,40_50,2.5,0.8264682057513164,8
11,HPV,SIXTEEN,NORMAL,50_60,2.2,0.898094512195122,11
12,HPV,EIGHTEEN,NORMAL,<30,2.1,0.9341971054445211,1
13,HPV,EIGHTEEN,NORMAL,30_40,1.7,1.4322266666666665,5
14,HPV,EIGHTEEN,NORMAL,40_50,0.9,1.0033105656350054,8
15,HPV,EIGHTEEN,NORMAL,50_60,0.7,0.6320954188126863,11
16,CIN23,HIGH_RISK,NORMAL,20_25,0.402748414,2.342024092465753,2
17,CIN23,HIGH_RISK,NORMAL,25_30,0.593742508,0.2885440688216891,3
18,CIN23,HIGH_RISK,NORMAL,30_40,0.485789325,0.3487105347349177,6
19,CIN23,HIGH_RISK,NORMAL,40_50,0.298947277,0.1563804742063492,9
20,CIN23,HIGH_RISK,NORMAL,50_60,0.174385911,0.15577979664634148,12
21,CIN23,HIGH_RISK,NORMAL,60_80,0.18061398,0.22030374722838136,14
22,CIN23,SIXTEEN,NORMAL,20_25,0.364693446,0.7926441637931034,2
23,CIN23,SIXTEEN,NORMAL,25_30,0.537640854,0.6043725748218525,3
24,CIN23,SIXTEEN,NORMAL,30_40,0.439887971,0.2146264807260479,6
25,CIN23,SIXTEEN,NORMAL,40_50,0.27070029,0.19792310682492584,9
26,CIN23,SIXTEEN,NORMAL,50_60,0.157908502,0.19854804885993488,12
27,CIN23,SIXTEEN,NORMAL,60_80,0.163548092,0.23383913658536584,14
28,CIN23,EIGHTEEN,NORMAL,20_25,0.05179704,4.636229090909091,2
29,CIN23,EIGHTEEN,NORMAL,25_30,0.076360585,0.10281236928104574,3
30,CIN23,EIGHTEEN,NORMAL,30_40,0.062476842,0.40859314441416894,6
31,CIN23,EIGHTEEN,NORMAL,40_50,0.038447288,0.13949977181208056,9
32,CIN23,EIGHTEEN,NORMAL,50_60,0.022427584,0.2754454765100671,12
33,CIN23,EIGHTEEN,NORMAL,60_80,0.02322857,0.21045776243093922,14
34,CANCER,ALL,NORMAL,<30,2.9,0.6482569993535233,4
35,CANCER,ALL,NORMAL,30_40,19.0,1.2982435031185031,7
36,CANCER,ALL,NORMAL,40_50,31.6,1.7122388910558373,10
37,CANCER,ALL,NORMAL,50_60,37.0,3.120523469190651,13
38,CANCER,ALL,NORMAL,60_70,41.5,3.4077700873869,15
39,CANCER,ALL,NORMAL,70+,43.3,0.6978269579013157,16
