age,hiv,no_hiv
0,50,50
1,2.04,2.04
2,2.04,2.04
3,2.04,2.04
4,2.04,2.04
5,1.18,1.18
6,1.18,1.18
7,1.18,1.18
8,1.18,1.18
9,1.18,1.18
10,1.18,1.18
11,1.18,1.18
12,1.18,1.18
13,1.18,1.18
14,1.18,1.18
15,3.88,3.88
16,3.88,3.88
17,3.88,3.88
18,3.88,3.88
19,3.88,3.88
20,3.88,3.88
21,3.88,3.88
22,3.88,3.88
23,3.88,3.88
24,3.88,3.88
25,8,8
26,8,8
27,8,8
28,8,8
29,8,8
30,8,8
31,8,8
32,8,8
33,8,8
34,8,8
35,14.02,14.02
36,14.02,14.02
37,14.02,14.02
38,14.02,14.02
39,14.02,14.02
40,14.02,14.02
41,14.02,14.02
42,14.02,14.02
43,14.02,14.02
44,14.02,14.02
45,30.25,30.25
46,30.25,30.25
47,30.25,30.25
48,30.25,30.25
49,30.25,30.25
50,30.25,30.25
51,30.25,30.25
52,30.25,30.25
53,30.25,30.25
54,30.25,30.25
55,67,67
56,67,67
57,67,67
58,67,67
59,67,67
60,67,67
61,67,67
62,67,67
63,67,67
64,67,67
65,142.1,142.1
66,142.1,142.1
67,142.1,142.1
68,142.1,142.1
69,142.1,142.1
70,142.1,142.1
71,142.1,142.1
72,142.1,142.1
73,142.1,142.1
74,142.1,142.1
75,378.8,378.8
76,378.8,378.8
77,378.8,378.8
78,378.8,378.8
79,378.8,378.8
80,378.8,378.8
81,378.8,378.8
82,378.8,378.8
83,378.8,378.8
84,378.8,378.8
85,1287,1287
86,1287,1287
87,1287,1287
88,1287,1287
89,1287,1287
90,1287,1287
91,1287,1287
92,1287,1287
93,1287,1287
94,1287,1287
95,1287,1287
96,1287,1287
97,1287,1287
98,1287,1287
99,1287,1287
100,1287,1287
