STRAIN,FROM_STATE,TO_STATE,IMMUNITY,HIV,Original_Multiplier,Low,High,Peak,US - Low,US - High
HIGH_RISK,NORMAL,HPV,NATURAL,All,0.23745,0.05,0.21,0.13,,
SIXTEEN,NORMAL,HPV,NATURAL,All,0.21841,0.05,0.21,0.13,,
EIGHTEEN,NORMAL,HPV,NATURAL,All,0.2074,0.05,0.21,0.13,,
HIGH_RISK,NORMAL,HPV,VACCINE,All,,,,1,,
SIXTEEN,NORMAL,HPV,VACCINE,All,,,,1,,
EIGHTEEN,NORMAL,HPV,VACCINE,All,,,,1,,
LOW_RISK,NORMAL,HPV,All,All,3.75942,1.5,5.5,3.5,1,4
HIGH_RISK,NORMAL,HPV,All,All,7.6936,4.5,9.5,7,1,8
SIXTEEN,NORMAL,HPV,All,All,7.90374,3,7,5,1,8
EIGHTEEN,NORMAL,HPV,All,All,7.86304,1,4,2,1,8
LOW_RISK,HPV,CIN_1,All,All,5.64263,0.05,3,0.15,0.1,6
HIGH_RISK,HPV,CIN_1,All,All,0.53494,0.05,3,0.7,0.1,6
SIXTEEN,HPV,CIN_1,All,All,3.9658,0.25,3,1.5,0.1,6
EIGHTEEN,HPV,CIN_1,All,All,5.22357,0.5,4,2,0.1,6
HIGH_RISK,HPV,CIN_2_3,All,All,0.04532,0,0.5,0.05,0,0.1
SIXTEEN,HPV,CIN_2_3,All,All,0.70912,0.1,1.5,0.75,0.1,1
EIGHTEEN,HPV,CIN_2_3,All,All,0.03472,0,0.25,0.1,0,0.1
HIGH_RISK,CIN_1,CIN_2_3,All,All,0.9251,0.25,2.5,0.9,0.1,4
SIXTEEN,CIN_1,CIN_2_3,All,All,1.80363,0.5,4,1.25,0.5,6
EIGHTEEN,CIN_1,CIN_2_3,All,All,2.48921,0.1,4,2.5,0.1,4
HIGH_RISK,CIN_2_3,CANCER,All,All,1.36719,0.2,1,0.6,1,3
SIXTEEN,CIN_2_3,CANCER,All,All,4.58147,0.2,1,0.6,1,5
EIGHTEEN,CIN_2_3,CANCER,All,All,1.99302,0.2,1,0.6,1,5
HIGH_RISK,CIN_2_3,NORMAL,All,All,1.77839,0.5,5,1,0.5,5
SIXTEEN,CIN_2_3,NORMAL,All,All,0.70195,0.5,5,1,0.5,5
EIGHTEEN,CIN_2_3,NORMAL,All,All,4.95033,0.5,5,1,0.5,5
LOW_RISK,CIN_1,NORMAL,All,All,2.36324,0.5,5,1,0.5,5
HIGH_RISK,CIN_1,NORMAL,All,All,1.37026,0.5,5,1,0.5,5
SIXTEEN,CIN_1,NORMAL,All,All,4.63685,0.5,5,1,0.5,5
EIGHTEEN,CIN_1,NORMAL,All,All,4.63685,0.5,5,3,0.5,5
LOW_RISK,HPV,NORMAL,All,All,5.93843,1.5,6,2.5,1.5,6
HIGH_RISK,HPV,NORMAL,All,All,3.71069,1.5,6,2.5,1.5,6
SIXTEEN,HPV,NORMAL,All,All,4.03005,1,6,2.5,1.5,6
EIGHTEEN,HPV,NORMAL,All,All,4.03005,1,6,2,1.5,6
