Scenario,% Diff,Weighted % Diff,Incidence Check,Cause Check
scenario_0789,0.2716408625562166,0.2369811624521649,False,True
scenario_2794,0.2909264750149355,0.3822388271426992,False,True
scenario_0954,0.35354575057181886,0.5901403607905882,False,False
scenario_0351,0.29365685338372716,0.2845015364781287,False,True
scenario_0166,0.28665017433265433,0.585342189073071,False,False
scenario_2777,0.2535363776016184,0.25063716193456964,False,True
scenario_1348,0.34519871781237604,0.3693236224145515,False,False
scenario_2811,0.2667246831277464,0.3243049627271345,False,True
scenario_0330,0.2920451601520274,0.5507023217819917,False,False
scenario_0334,0.3181743910503897,0.531728341210346,False,False
scenario_2167,0.2747641645380934,0.48253018252095814,False,False
scenario_1632,0.3156811535856175,0.5015110342064403,False,False
scenario_2126,0.4035132412668261,0.6609119044056632,False,False
scenario_1808,0.39367924791519837,0.5294498989518728,False,False
scenario_2241,0.16181349031156794,0.24028937935161815,False,True
scenario_0801,0.2719153380444141,0.3889337652309264,False,False
scenario_2028,0.31860165681042124,0.31029738017865816,False,True
scenario_0522,0.2920829760616951,0.267157931927347,True,False
scenario_2931,0.2665186723072994,0.3639930910961854,False,False
scenario_2377,0.36055730828808724,0.8763873330393942,False,False
scenario_0165,0.30461234609572585,0.6206506160106656,False,False
scenario_1245,0.21281178039801973,0.2541523149226235,False,False
scenario_2911,0.312933711263199,0.32404679578880324,False,False
scenario_1945,0.21806197479466785,0.3856746076415044,False,False
scenario_0322,0.26972618404184606,0.2686798775634136,False,True
scenario_1158,0.23055092649860323,0.2914238071336888,False,False
scenario_0227,0.33825660405198726,0.7080512946940037,False,True
scenario_1760,0.2954526620665289,0.28720868504976355,False,True
scenario_0318,0.3373781823367287,0.5253768553603327,False,False
scenario_0185,0.3114211642604218,0.5624418966640279,False,True
scenario_1280,0.28375070457016704,0.3871721131788872,False,True
scenario_1906,0.2825232864758356,0.6715415299295855,False,False
scenario_2136,0.3422506128377721,0.4658270945054433,False,False
scenario_2574,0.20756810648085935,0.2198881492633811,False,True
scenario_0409,0.2787959037262932,0.28605324475599,False,False
scenario_0396,0.33978896172125095,0.5376654420842236,False,False
scenario_0890,0.2467318584836764,0.3015291371413782,False,False
