age,hiv,no_hiv
10,3958.0413,99.6326
11,3958.0413,99.6326
12,3958.0413,99.6326
13,3958.0413,99.6326
14,3958.0413,99.6326
15,3958.0413,99.6326
16,2130.6832,100.196
17,1914.1905,101.033
18,1557.8985,99.1124
19,1619.5388,95.8828
20,1308.7427,116.1786
21,1418.1376,123.7466
22,1178.2253,110.8048
23,1003.602,104.0125
24,979.6861,97.2692
25,964.8916,131.4228
26,976.1058,130.3011
27,1049.977,139.2768
28,948.7732,110.5753
29,1083.3154,123.4171
30,970.105,131.9393
31,1044.5909,131.5596
32,1139.6827,124.4167
33,1071.0644,127.3535
34,1240.1026,133.7313
35,1290.6167,142.9996
36,1380.5645,145.8574
37,1371.0723,136.3749
38,1340.5474,143.6406
39,1398.1858,152.6185
40,1597.741,185.7313
41,1665.5066,197.6231
42,1699.7226,175.4859
43,1921.1814,158.5356
44,1929.6031,188.5379
45,2118.2162,213.1873
46,2150.2403,226.0105
47,2227.1493,225.0933
48,2395.4587,228.1612
49,2343.8508,215.6774
50,3106.0962,1054.8362
