age,high_risk,low_risk
10,2.54,0.49
11,2.93,0.57
12,3.36,0.67
13,3.88,0.76
14,4.44,0.88
15,5.09,1.01
16,5.8,1.15
17,6.63,1.32
18,7.51,1.5
19,8.5,1.69
20,9.63,1.9
21,10.79,2.16
22,12.1,2.41
23,13.5,2.7
24,14.98,2.98
25,16.54,3.29
26,18.18,3.62
27,19.87,3.96
28,21.61,4.31
29,23.35,4.66
30,25.09,5.0
31,26.83,5.34
32,28.52,5.68
33,30.17,6.01
34,31.74,6.32
35,33.22,6.64
36,34.61,6.91
37,35.89,7.14
38,37.1,7.41
39,38.21,7.62
40,39.21,7.8
41,40.12,8.01
42,40.94,8.17
43,41.64,8.3
44,42.28,8.42
45,42.87,8.55
46,43.37,8.63
47,43.81,8.73
48,44.2,8.82
49,44.54,8.86
50,44.83,8.92
51,45.08,8.98
52,45.31,9.02
53,45.51,9.05
54,45.68,9.09
55,45.83,9.15
56,45.95,9.15
57,46.07,9.17
58,46.16,9.19
59,46.24,9.21
60,46.32,9.23
61,46.38,9.25
62,46.41,9.25
63,46.47,9.27
64,46.51,9.27
65,46.55,9.29
66,46.57,9.29
67,46.59,9.29
68,46.63,9.31
69,46.65,9.31
70,46.67,9.31
71,46.67,9.31
72,46.69,9.31
73,46.7,9.33
74,46.7,9.33
75,46.72,9.33
