age,high_risk,low_risk
10,57.87,55.83
11,58.24,55.96
12,58.75,56.06
13,59.21,56.06
14,59.81,56.2
15,60.39,56.29
16,61.16,56.57
17,61.97,56.66
18,62.95,56.94
19,63.9,57.03
20,64.99,57.26
21,66.19,57.54
22,67.54,57.77
23,68.86,58.01
24,70.41,58.38
25,71.99,58.75
26,73.57,58.98
27,75.24,59.35
28,77.05,59.68
29,78.76,60.05
30,80.57,60.42
31,82.24,60.79
32,83.96,61.02
33,85.6,61.35
34,87.18,61.76
35,88.69,61.99
36,90.1,62.32
37,91.45,62.55
38,92.68,62.83
39,93.75,63.06
40,94.7,63.15
41,95.67,63.43
42,96.46,63.57
43,97.11,63.62
44,97.85,63.76
45,98.36,63.9
46,98.92,63.99
47,99.29,64.13
48,99.8,64.22
49,100.08,64.27
50,100.4,64.36
51,100.63,64.41
52,100.91,64.41
53,101.01,64.45
54,101.24,64.5
55,101.38,64.5
56,101.47,64.5
57,101.61,64.59
58,101.7,64.64
59,101.84,64.64
60,101.89,64.64
61,101.98,64.64
62,102.03,64.64
63,102.03,64.64
64,102.07,64.64
65,102.12,64.64
66,102.12,64.64
67,102.21,64.73
68,102.26,64.78
69,102.26,64.78
70,102.26,64.78
71,102.26,64.78
72,102.26,64.78
73,102.26,64.78
74,102.26,64.78
75,102.26,64.78
